indicator,type,pulse_name,date_collected
culturabva.es,domain,"Major August 2025 Cyber Attacks: 7-Stage Tycoon2FA Phishing, New ClickFix Campaign, and Salty2FA",2025-09-25T16:10:17.666103
dvlhpbxlmmi.es,domain,"Major August 2025 Cyber Attacks: 7-Stage Tycoon2FA Phishing, New ClickFix Campaign, and Salty2FA",2025-09-25T16:10:17.666103
flaxergaurds.com,domain,"Major August 2025 Cyber Attacks: 7-Stage Tycoon2FA Phishing, New ClickFix Campaign, and Salty2FA",2025-09-25T16:10:17.666103
innovationsteams.com,domain,"Major August 2025 Cyber Attacks: 7-Stage Tycoon2FA Phishing, New ClickFix Campaign, and Salty2FA",2025-09-25T16:10:17.666103
loanauto.cloud,domain,"Major August 2025 Cyber Attacks: 7-Stage Tycoon2FA Phishing, New ClickFix Campaign, and Salty2FA",2025-09-25T16:10:17.666103
marketplace24ei.ru,domain,"Major August 2025 Cyber Attacks: 7-Stage Tycoon2FA Phishing, New ClickFix Campaign, and Salty2FA",2025-09-25T16:10:17.666103
pyfao.es,domain,"Major August 2025 Cyber Attacks: 7-Stage Tycoon2FA Phishing, New ClickFix Campaign, and Salty2FA",2025-09-25T16:10:17.666103
spaijo.es,domain,"Major August 2025 Cyber Attacks: 7-Stage Tycoon2FA Phishing, New ClickFix Campaign, and Salty2FA",2025-09-25T16:10:17.666103
temopix.com,domain,"Major August 2025 Cyber Attacks: 7-Stage Tycoon2FA Phishing, New ClickFix Campaign, and Salty2FA",2025-09-25T16:10:17.666103
vnositel-bg.com,domain,"Major August 2025 Cyber Attacks: 7-Stage Tycoon2FA Phishing, New ClickFix Campaign, and Salty2FA",2025-09-25T16:10:17.666103
wetotal.net,domain,"Major August 2025 Cyber Attacks: 7-Stage Tycoon2FA Phishing, New ClickFix Campaign, and Salty2FA",2025-09-25T16:10:17.666103
yurikamome.com,domain,"Major August 2025 Cyber Attacks: 7-Stage Tycoon2FA Phishing, New ClickFix Campaign, and Salty2FA",2025-09-25T16:10:17.666103
zerontwoposh.live,domain,"Major August 2025 Cyber Attacks: 7-Stage Tycoon2FA Phishing, New ClickFix Campaign, and Salty2FA",2025-09-25T16:10:17.666103
telephony.nexttradeitaly.com,hostname,"Major August 2025 Cyber Attacks: 7-Stage Tycoon2FA Phishing, New ClickFix Campaign, and Salty2FA",2025-09-25T16:10:17.666103
https://microsofstlive.fare.com.de/JmJfd,URL,"Major August 2025 Cyber Attacks: 7-Stage Tycoon2FA Phishing, New ClickFix Campaign, and Salty2FA",2025-09-25T16:10:17.666103
153.127.234.4,IPv4,"Major August 2025 Cyber Attacks: 7-Stage Tycoon2FA Phishing, New ClickFix Campaign, and Salty2FA",2025-09-25T16:10:17.666103
